LIGHT (lux),Time since start in ms,YYYY-MO-DD HH-MI-SS.SSSS
34.00,22991,2022-03-30 20:52:36.5650
34.00,23036,2022-03-30 20:52:36.6110
34.00,23084,2022-03-30 20:52:36.6590
34.00,23130,2022-03-30 20:52:36.7040
44.00,23178,2022-03-30 20:52:36.7530
44.00,23227,2022-03-30 20:52:36.8020
44.00,23273,2022-03-30 20:52:36.8470
44.00,23319,2022-03-30 20:52:36.8930
44.00,23366,2022-03-30 20:52:36.9400
44.00,23411,2022-03-30 20:52:36.9850
44.00,23457,2022-03-30 20:52:37.0320
44.00,23504,2022-03-30 20:52:37.0780
44.00,23550,2022-03-30 20:52:37.1240
44.00,23597,2022-03-30 20:52:37.1720
44.00,23643,2022-03-30 20:52:37.2180
44.00,23689,2022-03-30 20:52:37.2630
44.00,23736,2022-03-30 20:52:37.3100
44.00,23782,2022-03-30 20:52:37.3560
44.00,23831,2022-03-30 20:52:37.4060
36.00,23879,2022-03-30 20:52:37.4530
36.00,23925,2022-03-30 20:52:37.5000
36.00,23971,2022-03-30 20:52:37.5450
36.00,24020,2022-03-30 20:52:37.5950
36.00,24071,2022-03-30 20:52:37.6460
36.00,24133,2022-03-30 20:52:37.7080
36.00,24191,2022-03-30 20:52:37.7650
36.00,24236,2022-03-30 20:52:37.8110
36.00,24284,2022-03-30 20:52:37.8580
36.00,24330,2022-03-30 20:52:37.9050
36.00,24376,2022-03-30 20:52:37.9510
36.00,24418,2022-03-30 20:52:37.9930
36.00,24447,2022-03-30 20:52:38.0210
36.00,24489,2022-03-30 20:52:38.0630
36.00,24535,2022-03-30 20:52:38.1090
32.00,24584,2022-03-30 20:52:38.1580
32.00,24630,2022-03-30 20:52:38.2050
32.00,24673,2022-03-30 20:52:38.2480
32.00,24706,2022-03-30 20:52:38.2810
32.00,24734,2022-03-30 20:52:38.3080
32.00,24763,2022-03-30 20:52:38.3370
32.00,24794,2022-03-30 20:52:38.3680
32.00,24823,2022-03-30 20:52:38.3970
32.00,24855,2022-03-30 20:52:38.4290
32.00,24883,2022-03-30 20:52:38.4570
32.00,24924,2022-03-30 20:52:38.4980
32.00,24970,2022-03-30 20:52:38.5450
32.00,25019,2022-03-30 20:52:38.5940
32.00,25067,2022-03-30 20:52:38.6420
