LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0,18113,2020-09-30 12:03:09:080
0.0,18164,2020-09-30 12:03:09:131
6.0,18214,2020-09-30 12:03:09:181
6.0,18264,2020-09-30 12:03:09:231
6.0,18313,2020-09-30 12:03:09:280
6.0,18363,2020-09-30 12:03:09:330
6.0,18414,2020-09-30 12:03:09:381
4.0,18464,2020-09-30 12:03:09:431
4.0,18514,2020-09-30 12:03:09:481
0.0,18563,2020-09-30 12:03:09:530
0.0,18614,2020-09-30 12:03:09:581
4.0,18663,2020-09-30 12:03:09:630
6.0,18714,2020-09-30 12:03:09:681
6.0,18764,2020-09-30 12:03:09:731
6.0,18813,2020-09-30 12:03:09:780
6.0,18863,2020-09-30 12:03:09:830
6.0,18914,2020-09-30 12:03:09:881
6.0,18964,2020-09-30 12:03:09:931
4.0,19013,2020-09-30 12:03:09:980
0.0,19063,2020-09-30 12:03:10:030
0.0,19114,2020-09-30 12:03:10:081
0.0,19164,2020-09-30 12:03:10:131
6.0,19214,2020-09-30 12:03:10:181
6.0,19263,2020-09-30 12:03:10:230
6.0,19314,2020-09-30 12:03:10:281
6.0,19364,2020-09-30 12:03:10:331
6.0,19414,2020-09-30 12:03:10:381
6.0,19463,2020-09-30 12:03:10:430
0.0,19513,2020-09-30 12:03:10:480
0.0,19563,2020-09-30 12:03:10:530
0.0,19613,2020-09-30 12:03:10:580
4.0,19664,2020-09-30 12:03:10:631
6.0,19714,2020-09-30 12:03:10:681
6.0,19764,2020-09-30 12:03:10:731
6.0,19814,2020-09-30 12:03:10:781
6.0,19864,2020-09-30 12:03:10:831
6.0,19913,2020-09-30 12:03:10:880
6.0,19964,2020-09-30 12:03:10:931
6.0,20014,2020-09-30 12:03:10:981
0.0,20064,2020-09-30 12:03:11:031
0.0,20113,2020-09-30 12:03:11:080
0.0,20164,2020-09-30 12:03:11:131
3.0,20213,2020-09-30 12:03:11:180
3.0,20264,2020-09-30 12:03:11:231
4.0,20314,2020-09-30 12:03:11:281
4.0,20363,2020-09-30 12:03:11:330
3.0,20413,2020-09-30 12:03:11:380
3.0,20464,2020-09-30 12:03:11:431
0.0,20513,2020-09-30 12:03:11:480
0.0,20563,2020-09-30 12:03:11:530
0.0,20614,2020-09-30 12:03:11:581
4.0,20663,2020-09-30 12:03:11:630
6.0,20714,2020-09-30 12:03:11:681
6.0,20764,2020-09-30 12:03:11:731
6.0,20814,2020-09-30 12:03:11:781
6.0,20864,2020-09-30 12:03:11:831
6.0,20913,2020-09-30 12:03:11:880
6.0,20964,2020-09-30 12:03:11:931
6.0,21014,2020-09-30 12:03:11:981
0.0,21063,2020-09-30 12:03:12:030
0.0,21114,2020-09-30 12:03:12:081
0.0,21163,2020-09-30 12:03:12:130
4.0,21213,2020-09-30 12:03:12:180
3.0,21264,2020-09-30 12:03:12:231
3.0,21313,2020-09-30 12:03:12:280
3.0,21363,2020-09-30 12:03:12:330
3.0,21414,2020-09-30 12:03:12:381
3.0,21463,2020-09-30 12:03:12:430
4.0,21514,2020-09-30 12:03:12:481
0.0,21564,2020-09-30 12:03:12:531
0.0,21614,2020-09-30 12:03:12:581
3.0,21664,2020-09-30 12:03:12:631
3.0,21714,2020-09-30 12:03:12:681
6.0,21764,2020-09-30 12:03:12:731
6.0,21814,2020-09-30 12:03:12:781
6.0,21864,2020-09-30 12:03:12:831
6.0,21913,2020-09-30 12:03:12:880
6.0,21963,2020-09-30 12:03:12:930
3.0,22013,2020-09-30 12:03:12:980
3.0,22064,2020-09-30 12:03:13:031
0.0,22114,2020-09-30 12:03:13:081
3.0,22164,2020-09-30 12:03:13:131
6.0,22213,2020-09-30 12:03:13:180
6.0,22263,2020-09-30 12:03:13:230
6.0,22314,2020-09-30 12:03:13:281
6.0,22364,2020-09-30 12:03:13:331
6.0,22414,2020-09-30 12:03:13:381
3.0,22464,2020-09-30 12:03:13:431
3.0,22514,2020-09-30 12:03:13:481
0.0,22563,2020-09-30 12:03:13:530
0.0,22614,2020-09-30 12:03:13:581
4.0,22664,2020-09-30 12:03:13:631
4.0,22714,2020-09-30 12:03:13:681
6.0,22763,2020-09-30 12:03:13:730
6.0,22813,2020-09-30 12:03:13:780
6.0,22863,2020-09-30 12:03:13:830
6.0,22914,2020-09-30 12:03:13:881
6.0,22964,2020-09-30 12:03:13:931
0.0,23014,2020-09-30 12:03:13:981
0.0,23063,2020-09-30 12:03:14:030
0.0,23114,2020-09-30 12:03:14:081
0.0,23164,2020-09-30 12:03:14:131
6.0,23214,2020-09-30 12:03:14:181
6.0,23263,2020-09-30 12:03:14:230
6.0,23313,2020-09-30 12:03:14:280
6.0,23364,2020-09-30 12:03:14:331
6.0,23413,2020-09-30 12:03:14:380
6.0,23463,2020-09-30 12:03:14:430
0.0,23514,2020-09-30 12:03:14:481
0.0,23564,2020-09-30 12:03:14:531
0.0,23614,2020-09-30 12:03:14:581
0.0,23663,2020-09-30 12:03:14:630
6.0,23714,2020-09-30 12:03:14:681
6.0,23764,2020-09-30 12:03:14:731
6.0,23813,2020-09-30 12:03:14:780
6.0,23863,2020-09-30 12:03:14:830
6.0,23914,2020-09-30 12:03:14:881
6.0,23964,2020-09-30 12:03:14:931
0.0,24013,2020-09-30 12:03:14:980
0.0,24064,2020-09-30 12:03:15:031
0.0,24114,2020-09-30 12:03:15:081
0.0,24163,2020-09-30 12:03:15:130
6.0,24214,2020-09-30 12:03:15:181
6.0,24264,2020-09-30 12:03:15:231
6.0,24313,2020-09-30 12:03:15:280
6.0,24364,2020-09-30 12:03:15:331
6.0,24414,2020-09-30 12:03:15:381
6.0,24463,2020-09-30 12:03:15:430
0.0,24513,2020-09-30 12:03:15:480
0.0,24563,2020-09-30 12:03:15:530
0.0,24613,2020-09-30 12:03:15:580
0.0,24664,2020-09-30 12:03:15:631
6.0,24714,2020-09-30 12:03:15:681
6.0,24764,2020-09-30 12:03:15:731
6.0,24814,2020-09-30 12:03:15:781
6.0,24864,2020-09-30 12:03:15:831
6.0,24914,2020-09-30 12:03:15:881
6.0,24963,2020-09-30 12:03:15:930
4.0,25014,2020-09-30 12:03:15:981
0.0,25063,2020-09-30 12:03:16:030
0.0,25113,2020-09-30 12:03:16:080
0.0,25164,2020-09-30 12:03:16:131
6.0,25214,2020-09-30 12:03:16:181
6.0,25264,2020-09-30 12:03:16:231
6.0,25313,2020-09-30 12:03:16:280
6.0,25363,2020-09-30 12:03:16:330
6.0,25413,2020-09-30 12:03:16:380
6.0,25464,2020-09-30 12:03:16:431
0.0,25514,2020-09-30 12:03:16:481
0.0,25564,2020-09-30 12:03:16:531
0.0,25614,2020-09-30 12:03:16:581
3.0,25664,2020-09-30 12:03:16:631
6.0,25713,2020-09-30 12:03:16:680
6.0,25763,2020-09-30 12:03:16:730
6.0,25814,2020-09-30 12:03:16:781
6.0,25863,2020-09-30 12:03:16:830
6.0,25913,2020-09-30 12:03:16:880
