LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
88.00,9221,2022-04-05 14:34:23.0240
88.00,9254,2022-04-05 14:34:23.0560
88.00,9286,2022-04-05 14:34:23.0880
88.00,9320,2022-04-05 14:34:23.1220
88.00,9354,2022-04-05 14:34:23.1570
88.00,9387,2022-04-05 14:34:23.1900
88.00,9424,2022-04-05 14:34:23.2270
88.00,9464,2022-04-05 14:34:23.2670
88.00,9495,2022-04-05 14:34:23.2980
88.00,9530,2022-04-05 14:34:23.3330
88.00,9565,2022-04-05 14:34:23.3680
88.00,9602,2022-04-05 14:34:23.4050
88.00,9638,2022-04-05 14:34:23.4400
88.00,9675,2022-04-05 14:34:23.4770
88.00,9707,2022-04-05 14:34:23.5090
88.00,9742,2022-04-05 14:34:23.5450
88.00,9779,2022-04-05 14:34:23.5810
88.00,9812,2022-04-05 14:34:23.6140
88.00,9847,2022-04-05 14:34:23.6500
65.00,9886,2022-04-05 14:34:23.6890
65.00,9921,2022-04-05 14:34:23.7230
65.00,9954,2022-04-05 14:34:23.7570
65.00,9991,2022-04-05 14:34:23.7940
65.00,10030,2022-04-05 14:34:23.8320
65.00,10066,2022-04-05 14:34:23.8690
65.00,10102,2022-04-05 14:34:23.9040
65.00,10136,2022-04-05 14:34:23.9380
65.00,10170,2022-04-05 14:34:23.9730
65.00,10206,2022-04-05 14:34:24.0080
65.00,10238,2022-04-05 14:34:24.0410
65.00,10272,2022-04-05 14:34:24.0750
65.00,10309,2022-04-05 14:34:24.1110
65.00,10344,2022-04-05 14:34:24.1470
86.00,10384,2022-04-05 14:34:24.1870
86.00,10424,2022-04-05 14:34:24.2270
86.00,10458,2022-04-05 14:34:24.2610
86.00,10488,2022-04-05 14:34:24.2900
86.00,10524,2022-04-05 14:34:24.3260
86.00,10552,2022-04-05 14:34:24.3550
86.00,10587,2022-04-05 14:34:24.3900
86.00,10618,2022-04-05 14:34:24.4200
86.00,10667,2022-04-05 14:34:24.4690
86.00,10701,2022-04-05 14:34:24.5040
86.00,10736,2022-04-05 14:34:24.5390
86.00,10769,2022-04-05 14:34:24.5710
86.00,10801,2022-04-05 14:34:24.6030
100.00,10838,2022-04-05 14:34:24.6400
100.00,10871,2022-04-05 14:34:24.6740
100.00,10903,2022-04-05 14:34:24.7060
100.00,10938,2022-04-05 14:34:24.7400
100.00,10974,2022-04-05 14:34:24.7770
100.00,11011,2022-04-05 14:34:24.8130
100.00,11051,2022-04-05 14:34:24.8530
100.00,11084,2022-04-05 14:34:24.8860
100.00,11119,2022-04-05 14:34:24.9220
100.00,11156,2022-04-05 14:34:24.9580
100.00,11187,2022-04-05 14:34:24.9900
100.00,11222,2022-04-05 14:34:25.0240
100.00,11258,2022-04-05 14:34:25.0600
100.00,11297,2022-04-05 14:34:25.1000
104.00,11335,2022-04-05 14:34:25.1370
104.00,11366,2022-04-05 14:34:25.1690
104.00,11393,2022-04-05 14:34:25.1960
104.00,11420,2022-04-05 14:34:25.2230
104.00,11450,2022-04-05 14:34:25.2530
104.00,11474,2022-04-05 14:34:25.2770
104.00,11500,2022-04-05 14:34:25.3030
104.00,11525,2022-04-05 14:34:25.3280
104.00,11551,2022-04-05 14:34:25.3530
79.00,11585,2022-04-05 14:34:25.3870
79.00,11607,2022-04-05 14:34:25.4090
79.00,11627,2022-04-05 14:34:25.4300
79.00,11651,2022-04-05 14:34:25.4530
79.00,11679,2022-04-05 14:34:25.4810
79.00,11708,2022-04-05 14:34:25.5100
79.00,11728,2022-04-05 14:34:25.5310
79.00,11749,2022-04-05 14:34:25.5510
79.00,11772,2022-04-05 14:34:25.5750
79.00,11802,2022-04-05 14:34:25.6050
72.00,11837,2022-04-05 14:34:25.6390
72.00,11869,2022-04-05 14:34:25.6720
72.00,11902,2022-04-05 14:34:25.7050
